Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-02-27,46642.6060765784,46326.8240662604,48353.0009997272,46207.7057791701
BTC,2021-02-28,45092.8065726007,46204.0585644331,46675.1978497681,43119.157023758
BTC,2021-03-01,49248.914013312,45234.3687569565,49520.7249935968,45044.3837644809
BTC,2021-03-02,47900.7768783279,49636.0214648134,50211.4371703528,47200.042169092
BTC,2021-03-03,50811.855174443,48526.9903619638,52636.222987521,48195.1231038261
BTC,2021-03-04,48259.4870766621,50433.43614725,51781.967830174,47578.3072329746
BTC,2021-03-05,49149.7308288371,48404.2136268243,49462.1330062648,46393.3914635486
BTC,2021-03-06,48879.1519041557,48791.7905089441,49173.7618742134,47127.0409714578
BTC,2021-03-07,50594.6985745107,48887.566413132,51222.8723000143,48887.566413132
BTC,2021-03-08,51503.2581321815,50948.8807074493,51916.4139456018,49390.1827152952
BTC,2021-03-09,54458.0378114244,52360.7481633466,54804.0784533568,51865.5900329546
BTC,2021-03-10,56915.1739350527,54924.6865322271,57336.7454125548,53101.2363718899
BTC,2021-03-11,57636.7579619661,55898.8648164963,58034.7039641727,54323.6084986415
BTC,2021-03-12,57306.166262989,57817.2702106193,58077.9516003434,55116.258354667
BTC,2021-03-13,60743.0418249111,57227.2334504064,61556.5944921945,56124.1499937536
BTC,2021-03-14,60197.9019918003,60972.4912822272,61453.0583419279,59275.7038320695
BTC,2021-03-15,56300.3341086303,58962.4884645416,60570.6936530492,54790.3293132007
BTC,2021-03-16,56639.7839496711,55668.6235320123,56821.8824352676,53350.3677261802
BTC,2021-03-17,58567.2837810578,56908.5650181465,58923.5489310284,54201.7016335385
BTC,2021-03-18,57983.094743574,58883.0183569279,60074.3698484262,57075.0685717417
BTC,2021-03-19,58451.7314659458,57661.4151760071,59461.7752558814,56327.7928291708
BTC,2021-03-20,58593.6024540601,58127.6880369045,59919.2117705724,57914.8945148009
BTC,2021-03-21,57796.4673712199,58139.3002655962,58649.1341945667,55645.0542716299
BTC,2021-03-22,54329.3586346314,57389.2116182088,58407.6192058119,53795.1540855809
BTC,2021-03-23,54794.2977137099,54143.1060411186,55858.3692503114,53031.3267854018
BTC,2021-03-24,52787.7455257516,54375.8076292116,57225.2988140147,51777.9710941205
BTC,2021-03-25,52173.8679802456,52335.565034056,53209.4063842316,50458.0999654431
BTC,2021-03-26,54483.0457323,51344.0489802149,54806.8815135324,51286.2911772789
BTC,2021-03-27,56234.3561050027,55067.8243992337,56520.3072872845,54022.0769411946
BTC,2021-03-28,55343.9258153269,55843.7489159098,56541.0065274396,54741.6263732317
BTC,2021-03-29,57627.6792491031,55786.5460749289,58353.5293934274,54929.6805881028
BTC,2021-03-30,58734.4754337222,57613.1612610215,59379.9921589643,57069.2292723107
BTC,2021-03-31,58724.6645166272,58810.1558902316,59835.392334136,56934.3121158485
BTC,2021-04-01,58984.6129299288,58764.4330922567,59458.9845627677,57973.352097854
BTC,2021-04-02,58821.6269944414,58726.0845659329,60101.7523258852,58478.5983494219
BTC,2021-04-03,57517.7987731414,58958.4289847544,59713.2101360277,57185.7680059776
BTC,2021-04-04,58177.4027637323,57134.860051301,58540.9847064005,56552.2222746656
BTC,2021-04-05,58843.5595402095,58230.6755383335,59243.0361752688,56846.9690472223
BTC,2021-04-06,58040.1876018833,59133.6557404877,59484.1994747287,57421.85308528
BTC,2021-04-07,56508.9428638801,58030.6218488382,58645.7729706819,55541.9061341434
BTC,2021-04-08,57880.9056838598,55996.080360144,58179.6568636965,55758.4911781937
BTC,2021-04-09,58171.9090187021,58094.7441282731,58880.8216078339,57717.8597781978
BTC,2021-04-10,59295.950044014,58149.6505908122,61065.2226248324,57924.0752636046
BTC,2021-04-11,59822.9016774304,59765.1038183476,60588.4719725509,59229.8601057682
BTC,2021-04-12,59853.1972422704,59998.1599130997,61219.7186131498,59428.2147494889
BTC,2021-04-13,63223.8843907858,59841.5613729139,63707.342359208,59799.4405780877
BTC,2021-04-14,62926.5571759009,63562.6735446382,64801.787869525,61400.2839683111
BTC,2021-04-15,63346.7890351052,62987.2701787333,63850.2507346948,62094.6329143272
BTC,2021-04-16,61965.7825980957,63225.0939171782,63520.3253743417,60033.5346667838
BTC,2021-04-17,60574.4447282273,61444.2325029806,62534.0284980254,59802.8892670907
BTC,2021-04-18,56850.8301656893,60191.5254059278,60531.9888482489,52148.9835438328
BTC,2021-04-19,56224.1015877117,56335.3891413899,57609.3681180061,54449.2453296336
BTC,2021-04-20,56608.7697483925,55723.2272628006,57121.9439016309,53442.8516601945
BTC,2021-04-21,54144.4274760563,56508.1512444248,56809.1463930716,53913.850515382
BTC,2021-04-22,51965.0595594061,53830.8238641807,55471.076371955,50500.7318617182
BTC,2021-04-23,50669.1443821756,51714.0739702794,52111.1850681793,47467.9120320183
BTC,2021-04-24,50733.7695036374,51217.1723295026,51253.4429476246,48932.1588139391
BTC,2021-04-25,48542.9522029844,50177.2374032254,50668.6590249368,47105.5930680066
BTC,2021-04-26,53558.7078446195,49139.2309545102,54398.5927883666,48854.5813736666
BTC,2021-04-27,55123.8619814166,54059.4740685049,55398.0741517103,53351.1153983396
BTC,2021-04-28,54591.5153255436,55086.9387053242,56458.6358118116,53915.3548335028
BTC,2021-04-29,53260.2953411529,54893.8716690807,55224.9079561952,52403.7436077167
BTC,2021-04-30,57302.6464240813,53598.8795025724,57434.9331269941,53097.7627943494
BTC,2021-05-01,57677.9752218988,57741.0209101257,58511.2560485114,57062.7000705128
BTC,2021-05-02,56427.0431250152,57824.3001866402,57925.7415674161,56123.0395077865
BTC,2021-05-03,57255.3068375553,56639.4397864873,59001.3596421217,56508.2404487566
BTC,2021-05-04,53658.8431208163,57218.8053294413,57246.8911912062,53613.5952176663
BTC,2021-05-05,57252.7021845011,53270.2291184826,57977.6134230368,52987.1586596765
BTC,2021-05-06,56583.8498791665,57459.0521750001,58368.6820919958,55330.7278628212
BTC,2021-05-07,57107.1206718864,56439.1333994272,58724.1107779691,55320.9581179986
BTC,2021-05-08,58788.2096789273,57419.1478883675,59575.4631145794,57028.4980485871
BTC,2021-05-09,58102.1914262342,58966.9150095429,59249.141676133,56494.9153343839
BTC,2021-05-10,55715.5466512869,58308.3180483295,59560.0254591057,53774.6282425192
BTC,2021-05-11,56573.5554719043,55899.7529711018,56956.075029342,54571.6932097661
BTC,2021-05-12,52147.8211869823,56767.7110629927,58036.5097771205,51625.5478489667
BTC,2021-05-13,49764.1320815975,49596.7788914698,51448.7985760232,46294.7201795113
BTC,2021-05-14,50032.6931367648,49717.3543531654,51578.3125446899,48944.3465360214
BTC,2021-05-15,47885.6252547166,49926.035067459,50690.8029495356,47005.1022924768
BTC,2021-05-16,45604.6157536131,46805.5378519185,49670.4141738148,43868.6389692715
BTC,2021-05-17,43144.4712908603,46439.3365698047,46622.8534374849,42102.3464296188
